symbol,NGF3-1-1,NGF3-1-2,NGF3-1-3,NGF3-2-1,NGF3-2-2,NGF3-2-3,NGF3-3-1,NGF3-3-2,NGF3-3-3,NGF3-7-1,NGF3-7-2,NGF3-7-3,NGF3-7-4,NGF3-7-5,NGF3-7-6,NGF3-7-7,NGF3-7-8,NGF3-C-1,NGF3-C-2,NGF3-C-3,NGF3-1-4,NGF3-1-5,NGF3-1-6,NGF3-2-4,NGF3-2-5,NGF3-2-6,NGF3-3-4,NGF3-3-5,NGF3-3-6,NGF3-7-10,NGF3-7-11,NGF3-7-12,NGF3-7-13,NGF3-7-14,NGF3-7-15,NGF3-7-16,NGF3-7-9,NGF3-C-4,NGF3-C-5,NGF3-C-6
Des,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Det1,0,0,0,0,0,0,0,0,0,7,0,0,1,7,0,0,1,0,818,0,405,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1
Dexi,33,5,0,9,1,0,0,0,11,242,57,85,370,10,11,60,44,0,407,7,69,116,17,148,12,2,535,106,2,9,15,13,5,554,57,52,28,27,0,0
Dffa,574,0,0,1,139,0,111,168,55,397,424,6,190,75,9,492,2,0,2,2,17,1,0,64,1,0,251,0,1,84,4,7,784,2,1,0,223,5,0,1
Dffb,0,0,0,1,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Dfna5,2,128,0,13,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0
Dfnb31,1,0,11,0,0,2,0,0,1,80,0,345,0,0,54,5,29,895,0,0,1,12,0,0,0,1,0,1,1,53,190,0,1,0,7,0,2,1,0,0
Dgat1,67,0,2,4,0,0,44,126,0,14,255,7,23,177,31,8,14,0,8,6,7,3,0,432,2,0,2,0,5,444,51,1,16,0,9,216,0,3,0,44
Dgat2l6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dgat2,0,2,5,0,5,0,0,0,0,1,0,1,10,0,33,5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,2,0,0,0
Dgcr2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
Dgcr6,30,4,1222,0,0,0,47,1,4,112,31,453,18,4,35,20,794,1701,1285,3,20,0,0,0,647,0,9,479,8,925,373,56,1,34,309,235,2,1,0,5
Dgcr8,3,26,15,0,0,1,39,15,75,162,2376,10,11,10,70,807,3221,420,36,0,1,3,1,0,0,1,1,2,34,12,24,2,3,19,21,293,10,2,0,21
Dgcr14,45,2,3,4,0,6,3,3,3,0,1,1,2,0,0,0,2,2,2,1,6,11,4,4,3,3,8,4,4,4,135,5,2,4,1,3,2,5,7,2
Dgka,18,1,1,524,2,48,6,3,13,194,11,2,11,0,132,3,12,1,1139,2,43,16,0,2,0,3,1,2530,1,7,3,1891,8,15,62,56,8,2,1,0
Dgkb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dgke,222,0,0,5,1,0,1,0,0,146,9,2,370,13,32,101,55,24,0,0,54,0,4775,18,0,0,0,3,1,0,4,0,72,0,6,1,0,0,1,0
Dgkg,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130,0,0,0,1,0
Dgki,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Dgkq,46,0,0,1,0,64,58,0,5,293,3,132,137,46,8,27,64,1,7,1,23,4,0,0,0,0,0,0,4,1,29,0,2,0,31,0,69,4,0,60
Dgkz,1,1,1,0,0,0,6,0,0,10,0,0,0,0,20,72,3,2,1,2,0,1,0,2,0,1,0,2,1,1,0,26,3,0,0,66,0,1,0,1
