symbol,NGF-1-1,NGF-1-2,NGF-1-3,NGF-1-4,NGF-2-1,NGF-2-2,NGF-2-3,NGF-2-4,NGF-3-1,NGF-3-2,NGF-3-3,NGF-3-4,NGF-C-1,NGF-C-2,NGF-C-3,NGF-1-5,NGF-1-6,NGF-1-7,NGF-2-5,NGF-2-6,NGF-2-7,NGF-3-5,NGF-3-6,NGF-3-7,NGF-7-1,NGF-7-2,NGF-7-3,NGF-C-4,NGF-C-5,NGF-C-6,NGF-1-10,NGF-1-8,NGF-1-9,NGF-2-10,NGF-2-8,NGF-2-9,NGF-3-10,NGF-3-8,NGF-3-9,NGF-7-4,NGF-7-5,NGF-7-6,NGF-C-7,NGF-C-8,NGF-C-9,NGF-1-11,NGF-1-12,NGF-1-13,NGF-1-14,NGF-1-15,NGF-2-11,NGF-2-12,NGF-2-13,NGF-2-14,NGF-2-15,NGF-3-11,NGF-3-12,NGF-3-13,NGF-3-14,NGF-3-15,NGF-C-10,NGF-C-11,NGF-C-12,NGF-C-13,NGF-C-14,NGF-C-15
Bves,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bysl,50,0,0,2,30,6,5,5,26,2,13,0,9,5,34,13,1,37,6,56,1,3,22,0,166,0,1,1763,5,107,1,0,0,0,5,19,460,0,0,1,0,3,145,585,3,67,1,0,12,0,36,0,5,1500,0,671,0,0,1,883,129,0,2,81,0,258
Bzw1,239,0,63,1517,1526,1727,743,190,1823,262,190,43,100,1832,2144,900,567,29,3078,3573,1445,251,632,700,796,76,46,9714,676,7952,1004,163,338,0,2606,868,251,3930,17504,72,22,407,3974,1270,706,1492,2245,2,105,621,804,2833,125,1341,6245,544,1583,39,345,59,4396,130,229,1438,200,2984
Bzw2,31,1281,0,1063,305,656,110,432,1144,1179,185,282,240,159,827,808,1,2,839,1179,53,234,159,381,618,5,12,114,1177,348,168,117,8679,187,2924,1126,0,637,201,14,0,46,418,665,63,3918,1,2,200,71,1058,259,137,153,47,753,68,117,221,4,19,29,14,0,6,1636
C1d,132,84,223,792,824,1892,767,57,1125,688,262,386,812,1337,305,1002,33,0,672,2338,261,417,402,315,273,6,43,24,972,1752,116,1245,2316,0,692,1727,1116,0,1263,22,6,80,3691,92,636,2518,940,581,1066,1368,2189,754,182,1172,1384,1290,178,103,600,9,1048,99,110,3174,85,584
C1galt1c1,5,0,0,89,188,1387,417,207,61,33,0,68,182,377,298,958,40,0,894,22,2853,50,3197,22,945,44,14,88,426,0,18,691,0,0,760,651,2333,389,1,4,8,140,9,637,371,1035,0,1,2930,1060,554,308,1395,1232,8,370,385,33,1127,2,308,0,1,963,796,269
C1galt1,0,0,0,0,4,37,207,0,0,141,5,131,168,0,0,0,0,0,2,0,3,0,270,8,71,2,2,0,0,0,0,0,0,0,2,6708,0,0,0,2,0,31,1486,643,29,24,0,0,1,473,16,0,1,0,0,1,0,1375,0,1,69,131,56,0,0,259
C1qa,1,1,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
C1qbp,445,30,1,487,1011,1251,5274,1386,3008,453,1373,3093,1373,4395,2227,3643,1000,1417,2154,1310,1182,774,5266,31,1076,75,132,3371,240,3107,308,1645,252,8020,1793,2538,1079,134,719,142,3,379,1968,1943,1686,2439,199,6,6027,2422,928,1552,4206,216,158,3749,734,1097,8950,520,2550,112,514,231,7,3229
C1qb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
C1qc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1ql1,0,0,0,0,0,18,0,1,1,1,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,1,2,0,0,0,0,0,1,3,0,0,0,1,1,1,2,0,1,4,1,0,1,1,3,0,0,0,0,1,2,1
C1ql2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C1ql3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0
