symbol,NGF2-1-5,NGF2-1-6,NGF2-1-7,NGF2-2-5,NGF2-2-6,NGF2-2-7,NGF2-3-5,NGF2-3-6,NGF2-3-7,NGF2-7-5,NGF2-7-6,NGF2-7-7,NGF2-C-5,NGF2-C-7,NGF2-1-1,NGF2-1-2,NGF2-1-3,NGF2-2-1,NGF2-2-2,NGF2-2-3,NGF2-3-1,NGF2-3-2,NGF2-3-3,NGF2-7-1,NGF2-7-2,NGF2-7-3,NGF2-C-1,NGF2-C-2,NGF2-C-3,NGF2-1-10,NGF2-1-8,NGF2-1-9,NGF2-2-10,NGF2-2-8,NGF2-2-9,NGF2-3-10,NGF2-3-8,NGF2-3-9,NGF2-7-10,NGF2-7-8,NGF2-7-9,NGF2-C-10,NGF2-C-8,NGF2-C-9,NGF2-1-14,NGF2-1-15,NGF2-1-4,NGF2-2-14,NGF2-2-15,NGF2-2-4,NGF2-3-14,NGF2-3-15,NGF2-3-4,NGF2-7-14,NGF2-7-15,NGF2-7-16,NGF2-7-4,NGF2-C-14,NGF2-C-15,NGF2-C-4,NGF2-1-11,NGF2-1-12,NGF2-1-13,NGF2-2-11,NGF2-2-12,NGF2-2-13,NGF2-3-11,NGF2-3-12,NGF2-3-13,NGF2-7-11,NGF2-7-12,NGF2-7-13,NGF2-C-11,NGF2-C-12,NGF2-C-13
Fam227b,87,49,34,1,0,9,54,25,0,34,29,857,5,6,0,35,0,0,9,91,1,1,1,2,1,13,2,20,0,14,88,10,5,3,17,5,19,0,0,14,33,0,30,15,0,20,58,109,0,0,0,13,1,850,3,1,84,27,17,2,0,3,0,0,2,0,1,0,0,28,648,7,1352,0,20
Fam228a,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
Fam229a,2,3,0,10,1,0,5,1,0,1,2,0,1,4,1,6,3,2,0,1,7,1,1,0,1,1,2,2,5,3,1,0,1,0,2,1,1,2,1,0,1,1,3,1,1,3,1,56,0,1,0,1,3,1,1,0,4,0,0,0,3,2,2,4,2,2,1,2,1,1,0,2,0,2,0
Fam229b,9,0,0,0,0,0,0,0,167,0,0,0,57,0,0,0,0,11,0,0,0,0,0,13,0,19,0,0,33,0,0,75,0,0,0,0,0,0,172,51,5,0,0,0,0,0,117,0,0,0,207,0,0,122,0,204,0,74,0,0,0,0,0,0,0,0,0,1,0,27,0,12,0,0,0
Fan1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0
Fanca,0,0,1,9,2,18,12,392,5,0,16,0,0,0,0,1,92,1,21,0,344,0,1,65,3,31,0,0,27,0,2,0,0,12,147,4,0,1,0,12,56,199,0,0,8,0,0,3,0,0,0,1,1,111,89,81,1012,3,1,46,0,0,0,0,0,0,0,8,0,0,436,2,5,0,26
Fancb,0,1,145,0,0,0,0,0,1,0,105,0,0,0,0,0,0,1274,0,1,5,0,1,12,2,9,0,0,0,0,0,84,266,0,3,0,0,4,0,26,0,4,0,0,0,186,0,0,0,0,0,51,0,0,0,0,1,5,146,2,0,0,576,0,0,2,0,0,0,59,0,70,0,0,0
Fancc,0,5984,64,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,13,0,0,0,0,11,0,1,0,0,6,20,2675,1,0,4,0,17,0,0,0,128,20,0,0,0,0,0,1,0,0,0,0,59,0,47,0,1,0,222,0,0,0,0,0,0,1941,0,0,1,0,0,0,4,0,8,1
Fancd2os,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,14,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,233,0,1,0,0,1,0,0,0,0,174,0,0,0,1,1,0,0,0,0,0,4,0,9,0,0,0,0,0,0,1,0,0,2
Fancd2,0,10,65,0,0,0,1,0,189,1,3,0,1,0,0,0,0,1480,27,1,1,0,12,1,39,1,0,0,253,0,0,26,0,12,504,33,16,117,4,2,332,3,4,0,10,0,0,0,0,0,0,2,0,5,0,0,0,55,0,0,1,0,46,0,0,3,0,0,1,2,62,0,0,0,0
Fance,0,28,134,0,0,24,3,55,0,3,3,0,0,0,0,0,1,1,0,0,30,7,81,4,7,13,0,0,15,0,48,0,0,0,18,0,0,1,0,10,10,0,0,0,17,0,0,0,1,0,1,24,0,12,2,0,2,9,19,0,0,1,3,0,10,0,104,0,314,1,15,175,0,0,0
Fancl,17,4,68,0,0,10,6,1,2329,2,328,19,0,0,0,0,0,1,0,64,1,0,768,70,152,0,0,3,1,8,41,7,4,122,2620,5,0,0,0,1786,858,164,193,21,44,158,6,604,12,0,0,57,5,571,130,5563,0,90,0,2,0,473,0,0,12,9,0,0,2,537,1192,347,4,0,7
Fank1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fap,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Far1,1326,0,7,1,0,128,0,98,0,1341,2175,0,0,1,0,0,0,0,1,0,971,0,43,1242,491,25,1428,3,0,0,0,0,35,480,689,497,35,1995,0,635,22,1,193,0,0,4127,1,679,49,0,0,2044,0,0,0,1,0,1465,0,684,1,574,1,0,0,0,0,1,0,61,51,242,0,0,105
Farp1,403,801,84,0,0,162,947,2178,2479,240,226,2,1,32,3,0,24,3,0,29,0,171,115,473,139,263,126,936,123,217,652,17,118,514,2490,0,1155,1548,0,383,140,53,521,321,0,620,6841,496,644,1,1706,104,169,902,145,571,28,48,1710,137,2,48,398,43,1241,21,1,2,340,634,978,917,0,218,18
Farp2,1,3,0,0,0,16,6,2,49,0,974,108,2,0,0,0,1,0,34,1,0,0,0,8,55,25,0,0,0,65,100,3,16,4,2,12,35,2,93,116,99,1,7,2,7,25,0,8,4,1,0,13,0,39,17,1,1,40,0,0,0,6,8,0,4,2,3,0,1,21,8,6,2,1,0
Fars2,0,161,5,0,0,93,0,0,0,8,5,22,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,188,0,2,1,4,1,0,9,755,2,0,449,1130,0,0,1,0,22,0,515,1,0,0,2,0,3,64,0,1,0,0,2,0,930,0,0,0,0,0,0,0,30,7,76,0,0,0
Farsa,12,68,430,1764,1,598,382,1,3,0,161,127,2,0,156,0,1,10,2,6391,1,2,277,273,17,2987,6569,0,16,0,50,0,34,350,2006,21,2996,649,184,1201,309,1588,47,26,2,7,32,248,327,0,0,45,0,637,54,0,36,23,54,4,1,0,42,0,220,66,97,40,15,153,83,1110,0,0,150
Farsb,31,2504,196,0,0,1621,166,441,890,3,196,203,121,24,8,33,0,4,23,10,0,2,823,732,1044,8423,371,243,1418,6243,5,532,7,260,62,569,2142,3823,82,743,2861,336,0,716,569,51,39,577,284,5,483,45,34,4236,56,49,57,509,673,1367,0,2,589,9637,0,9,20,13,3571,402,594,1354,12,0,9284
Faslg,1,0,0,0,0,0,0,0,1,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,947,2,0,0,0,0,0,0,0
Fasn,206,3519,3400,0,9,498,225,10,1413,144,86,122,0,9,4,0,45,2163,3,19,52,3,60,121,363,108,1,31,19,16,12,161,61,119,166,90,18,8,35,524,1645,147,164,2,4,165,6,328,6,1,165,63,2,734,140,401,9,10,1,22,2,5401,66,1,47,21,7,4,3,187,384,2219,88,6,33
Fastkd1,329,0,130,1,0,660,0,0,16,1,725,0,0,0,0,250,1,3,12,2,5,0,1,103,1,21,2,1,18,0,11,90,159,7,0,167,2,2,34,819,9,0,2,2,0,0,12,0,4,0,1,5,16,3,9,1,11340,13,0,25,0,1,1,0,0,2,0,0,0,100,348,239,2,0,0
Fastkd2,0,3219,2276,0,1,97,0,21,265,2626,83,0,19,0,1,0,0,510,1,1,1,0,135,573,410,247,0,20,557,1,0,0,0,717,417,753,33,245,0,237,5,0,197,0,156,1,243,1355,300,0,3693,4,1,1886,289,987,1193,447,0,0,0,0,360,0,648,0,1,4,18,69,659,1270,0,0,0
Fastkd3,134,17,139,421,0,0,3,52,121,72,488,0,0,3,0,0,1,0,1,137,1,3,591,213,106,1050,0,93,274,0,0,781,0,134,219,4,101,6,318,861,2413,162,1313,29,0,358,5,1,16,0,33,1688,100,89,214,12,1,50,0,0,0,847,543,0,1,56,0,0,0,52,287,451,1,0,0
Fas,6,0,0,0,0,1,0,0,2,0,2,0,0,236,6,0,0,0,0,0,1,0,0,205,3,3,0,0,0,0,0,2,0,237,1548,122,177,1,0,1,30,0,0,0,0,0,13,0,2184,0,0,0,1,136,0,36,2,0,39,0,0,0,0,0,0,0,0,0,0,72,2,23,0,0,0
